personid,year_week,experiment_time,treatment,phonecalls
40472,201002,0,1,0.734
38898,201002,0,1,0.549
28492,201002,0,1,NA
42308,201002,0,1,0.036
10226,201002,0,1,NA
36908,201002,0,1,0.391
14522,201002,0,1,0.288
25638,201002,0,1,0.5
4942,201002,0,1,NA
38290,201002,0,1,0.367
37296,201002,0,1,NA
41286,201002,0,1,0.283
30972,201002,0,1,NA
32590,201002,0,1,NA
40328,201002,0,1,0.561
38566,201002,0,1,NA
40316,201002,0,1,0.443
21654,201002,0,1,NA
39990,201002,0,1,0.508
40444,201002,0,1,NA
38038,201002,0,1,0.437
17906,201002,0,1,0.502
29230,201002,0,1,0.616
12974,201002,0,1,0.665
33350,201002,0,1,0.364
13574,201002,0,1,NA
40322,201002,0,1,0.433
41818,201002,0,1,NA
13530,201002,0,1,NA
11868,201002,0,1,NA
39096,201002,0,1,0.848
14678,201002,0,1,NA
36032,201002,0,1,0.391
39548,201002,0,1,NA
39512,201002,0,1,NA
31936,201002,0,1,0.472
23622,201002,0,1,NA
24608,201002,0,1,0.021
37784,201002,0,1,NA
30014,201002,0,1,0.4
16514,201002,0,1,0.428
25628,201002,0,1,NA
30308,201002,0,1,NA
23228,201002,0,1,0.535
39942,201002,0,1,0.26
40192,201002,0,1,0.444
7488,201002,0,1,NA
25700,201002,0,1,NA
19482,201002,0,1,NA
22284,201002,0,1,0.628
38028,201002,0,1,NA
40320,201002,0,1,NA
38712,201002,0,1,0.503
28226,201002,0,1,NA
5614,201002,0,1,NA
10822,201002,0,1,NA
14532,201002,0,1,NA
35344,201002,0,1,0.467
38018,201002,0,1,NA
41318,201002,0,1,NA
23772,201002,0,1,0.304
36494,201002,0,1,0.321
37840,201002,0,1,NA
25962,201002,0,1,0.463
14382,201003,0,0,NA
35006,201003,0,0,0.505
17812,201003,0,0,NA
29024,201003,0,0,NA
25258,201003,0,0,NA
33354,201003,0,0,0.463
6278,201003,0,0,0.546
33366,201003,0,0,NA
18494,201003,0,0,NA
22022,201003,0,0,NA
26634,201003,0,0,0.464
6362,201003,0,0,NA
39478,201003,0,0,0.529
16594,201003,0,0,0.584
27704,201003,0,0,0.34
39490,201003,0,0,NA
8834,201003,0,0,0.684
7720,201003,0,0,0.493
32804,201003,0,0,0.379
39502,201003,0,0,NA
37798,201003,0,0,0.486
40336,201003,0,0,0.237
40076,201003,0,0,NA
31888,201003,0,0,0.629
29996,201003,0,0,NA
40346,201003,0,0,0.523
35822,201003,0,0,0.416
29248,201003,0,0,NA
39748,201003,0,0,NA
36288,201003,0,0,0.543
42096,201003,0,0,0.216
30002,201003,0,0,NA
14220,201003,0,0,0.588
39458,201003,0,0,0.375
35408,201003,0,0,NA
28190,201003,0,0,0.585
40334,201003,0,0,NA
11390,201003,0,0,NA
28224,201003,0,0,0.497
38842,201003,0,0,0.514
40174,201003,0,0,0.539
24146,201003,0,0,NA
17058,201003,0,0,NA
41332,201003,0,0,0.413
19684,201003,0,0,NA
38036,201003,0,0,NA
33128,201003,0,0,0.483
40008,201003,0,0,0.883
16422,201003,0,0,0.398
34890,201003,0,0,0.482
42152,201003,0,0,0.346
39466,201003,0,0,0.464
15444,201003,0,0,0.543
38552,201003,0,0,0.52
6364,201003,0,0,NA
14556,201003,0,0,NA
14374,201003,0,0,NA
39164,201003,0,0,0.535
13710,201003,0,0,NA
17160,201003,0,0,0.629
21604,201003,0,0,NA
31136,201003,0,0,0.549
37812,201003,0,0,NA
40034,201003,0,0,0.596
31150,201003,0,0,0.565
29172,201003,0,0,0.477
17172,201003,0,0,NA
40456,201003,0,0,0.624
4448,201003,0,0,NA
38862,201003,0,0,0.506
12426,201003,0,0,0.577
12306,201003,0,0,NA
42146,201003,0,0,NA
18502,201003,0,0,NA
10098,201003,0,0,0.389
9710,201003,0,0,NA
16424,201003,0,0,0.536
40162,201003,0,0,0.377
13980,201003,0,0,0.752
11348,201003,0,0,NA
