car_model,car_price,date,time,total_mileage,year,gear_type,fuel_type,url,city,area
HYUNDAI HB20 1.0 MT EVOLUTION 2022,76900.0,2 mar,20:07,16812.0,2022,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-mt-evolution-2022-1148105120,Porto Alegre,Petrópolis
Hyundai Hb20 1.0 12v Sense,87390.0,2 mar,20:06,0.0,2023,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-sense-1066658139,Caxias do Sul,Nossa Senhora de Fátima
Hyundai Hb20 1.0 Tgdi Platinum,115990.0,2 mar,18:25,0.0,2023,Automático,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-tgdi-platinum-1087569667,Caxias do Sul,Nossa Senhora de Fátima
Hyundai HB20 HB20 Sense 1.0 Flex 12V Mec.,66900.0,2 mar,18:07,32683.0,2021,Manual,Gasolina,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-hb20-sense-1-0-flex-12v-mec-1144778995,Porto Alegre,São João
HB20 1.0 manual,56800.0,2 mar,15:44,1.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-manual-1153862798,Nova Hartz,São João
"Hb20 Ocean 1.6 Mt6, 2017",59900.0,2 mar,15:33,62000.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-ocean-1-6-mt6-2017-1064381929,Porto Alegre,São Sebastião
Hb20 vision 2021 novo,67000.0,2 mar,13:03,27000.0,2021,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-vision-2021-novo-1153764855,Imbé,São Sebastião
HB20 2015 com couro ,46900.0,2 mar,12:48,108000.0,2015,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-2015-com-couro-1153756298,Porto Alegre,Sarandi
Hyundai HB20 Comf./C.Plus/C.Style 1.0 Flex 12V 2014 Flex,46900.0,2 mar,10:14,75500.0,2014,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-comf-c-plus-c-style-1-0-flex-12v-2014-flex-1153658027,Canoas,Centro
lindo hb20 único dono abaixo da fipe,43900.0,2 mar,10:02,86000.0,2014,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/lindo-hb20-unico-dono-abaixo-da-fipe-1140474812,Porto Alegre,Cristo Redentor
hb20 evolution c/9.000 km completo multimídia roda de liga,69900.0,2 mar,09:38,9000.0,2021,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-evolution-c-9-000-km-completo-multimidia-roda-de-liga-1153638776,Porto Alegre,São Sebastião
Hyundai Hb20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,59900.0,2 mar,08:55,75959.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-comfort-plus-12v-flex-4p-manual-978040434,Gravataí,Vera Cruz
HB20 1.0 Comfort 12v,53700.0,2 mar,08:40,60000.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-comfort-12v-1144057333,Porto Alegre,Tristeza
HYUNDAI HB20 10TA PLATINUM 2022,92900.0,2 mar,08:38,10151.0,2022,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-10ta-platinum-2022-1116046111,Porto Alegre,Bela Vista
HB20/ Hunday ,46000.0,2 mar,00:01,34800.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-hunday-1153535653,Porto Alegre,Hípica
Hb20 comf 1.0 completo,54500.0,1 mar,23:18,140000.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-comf-1-0-completo-1153526756,Esteio,Olímpica
HB20 confort 1.0 2018 completo. Abaixo da FIPE,48900.0,1 mar,22:20,95000.0,2018,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hb20-confort-1-0-2018-completo-abaixo-da-fipe-1148291907,Caxias do Sul,Panazzolo
HYUNDAI HB20S 1.0M COMF 2015,39900.0,1 mar,21:43,187800.0,2015,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-1-0m-comf-2015-1129556001,Gravataí,São Vicente
Hyundai HB20 Unique 1.0 Flex 12V Mec. 2019 Flex,57900.0,1 mar,21:42,41286.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-unique-1-0-flex-12v-mec-2019-flex-1102416924,Santa Maria,Nossa Senhora de Lourdes
HB20 2015/2016 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,61900.0,1 mar,20:18,66000.0,2016,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-2015-2016-1-6-comfort-plus-16v-flex-4p-manual-1102857907,Esteio,Centro
Hyundai Hb20 1.6 PREMIUM 16V FLEX 4P AUTOMATICO,74900.0,1 mar,20:08,40790.0,2019,Automático,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-6-premium-16v-flex-4p-automatico-1121726182,Santa Cruz do Sul,Várzea
HYUNDAI HB20 2021/2022 1.0 12V FLEX VISION MANUAL,65990.0,1 mar,20:06,91070.0,2022,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2021-2022-1-0-12v-flex-vision-manual-1089589358,Gravataí,Bom Princípio
HB20 1.0 COMFORT ,52900.0,1 mar,20:01,63000.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-comfort-1153455134,Estância Velha,Rincão dos Ilhéus
HB20 comfort plus 1.6 unico dono,67500.0,1 mar,19:44,69100.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hb20-comfort-plus-1-6-unico-dono-1029419028,Bento Gonçalves,São Francisco
HYUNDAI HB20 1.0M COMFOR 2016,45990.0,1 mar,19:12,300.0,2016,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0m-comfor-2016-1151352424,Porto Alegre,São Sebastião
Hyundai  Hb20 1.0 Sense 1.0 2020/2020 Único Dono 30.000 KM        ,62000.0,1 mar,18:02,30000.0,2020,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-sense-1-0-2020-2020-unico-dono-30-000-km--1153414645,Canoas,São José
Hyundai Hb20 1.0 UNIQUE 12V FLEX 4P MANUAL,54500.0,1 mar,15:54,61255.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-unique-12v-flex-4p-manual-1080507334,Gravataí,Vera Cruz
HB20 1.0M COMFOR,50000.0,1 mar,15:18,105000.0,2016,Manual,Flex,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0m-comfor-1148983885,Boa Vista do Buricá,Vera Cruz
