Country_ISO,Country,Year,CO2_Capita,GDP_PPP,Income_Group
CHL,Chile,2024,3.93744000373189,34637.1168279143,Higher Income
CHN,China,2024,9.31508933799393,27104.8702677463,Higher Income
COL,Colombia,2024,1.79780371737796,21508.7802475454,Higher Income
COM,Comoros,2024,0.514984514693732,3958.53228789687,Lower Income
COD,"Congo, Dem. Rep.",2024,0.0568247825820182,1821.04868718058,Lower Income
COG,"Congo, Rep.",2024,1.33536271579755,7026.36223281494,Lower Income
CRI,Costa Rica,2024,1.63283566378358,30062.8491604466,Higher Income
CIV,Cote d'Ivoire,2024,0.589054440955677,7669.23195715687,Lower Income
HRV,Croatia,2024,4.83151414825927,48816.9480032684,Higher Income
CYP,Cyprus,2024,5.40469504859816,61271.8203125,Higher Income
CZE,Czechia,2024,7.12966532502255,56686.5453488007,Higher Income
DNK,Denmark,2024,4.2782054919933,79514.2854383058,Higher Income
DJI,Djibouti,2024,0.765537056716653,7810.27869066792,Lower Income
DMA,Dominica,2024,1.27331772524734,21300.6848698089,Higher Income
DOM,Dominican Republic,2024,2.99473457012728,27541.6625283384,Higher Income
ECU,Ecuador,2024,2.64474970000791,15840.2668567412,Lower Income
EGY,"Egypt, Arab Rep.",2024,2.50251380967098,19094.1449444111,Lower Income
SLV,El Salvador,2024,1.50569728627702,13264.027090968,Lower Income
GNQ,Equatorial Guinea,2024,2.55052004844345,17566.7600284073,Lower Income
EST,Estonia,2024,7.75936884491537,49321.0450049538,Higher Income
SWZ,Eswatini,2024,0.880335237065324,11799.2028793201,Lower Income
ETH,Ethiopia,2024,0.146636636122491,3287.53492158893,Lower Income
FRO,Faroe Islands,2024,0.0384045646568278,81908.7781785018,Higher Income
FJI,Fiji,2024,1.62222863442953,15450.2993265388,Lower Income
FIN,Finland,2024,5.53521221243539,64288.5540142016,Higher Income
FRA,France,2024,4.00355772602595,61290.4238254531,Higher Income
GAB,Gabon,2024,2.0474983378969,21510.1725307344,Higher Income
GMB,"Gambia, The",2024,0.178370340740612,3475.61245701341,Lower Income
GEO,Georgia,2024,3.6402736868225,28285.0732802982,Higher Income
DEU,Germany,2024,6.94395663386317,72295.2353730129,Higher Income
GHA,Ghana,2024,0.702085843566409,8019.99702389611,Lower Income
GRC,Greece,2024,5.04642227577271,44005.1289320493,Higher Income
GRL,Greenland,2023,10.2857645300273,78840.5978395988,Higher Income
GRD,Grenada,2024,1.50076360626925,20177.8094927386,Higher Income
GTM,Guatemala,2024,1.1066501528086,14368.6605681815,Lower Income
GIN,Guinea,2024,0.352794025802477,4565.3007888456,Lower Income
GNB,Guinea-Bissau,2024,0.155449923501557,3119.37157047437,Lower Income
GUY,Guyana,2024,4.55860818422139,80155.03939277,Higher Income
HTI,Haiti,2024,0.298473814991934,3193.67136419915,Lower Income
HND,Honduras,2024,1.13551979026212,7486.01869616445,Lower Income
HKG,"Hong Kong SAR, China",2024,4.60070971943488,75195.9865970615,Higher Income
HUN,Hungary,2024,4.45791782423566,47637.1359877091,Higher Income
ISL,Iceland,2024,8.5199194837855,81924.411472168,Higher Income
