hhidpn,age,height,hhincome,female
16799040,64,1.5748,60.6,1
16810010,73,1.7018,55.6,0
16810011,69,1.4859,55.6,1
16822010,74,1.6002,18.75648,1
16822020,75,1.7018,18.75648,0
16827010,81,1.651,32.4,1
16827040,87,1.8288,32.4,0
16848010,82,1.5748,35.256,1
16855020,83,1.6764,24.6,1
16856010,76,1.7399,93.606,0
16856040,71,1.6256,93.606,1
16870010,81,1.4986,40.176,1
16870011,89,1.7018,40.176,0
16873030,71,1.9558,24.604,0
16904010,74,1.5748,81.444,1
16904011,77,1.7272,81.444,0
16914010,75,1.5748,21,1
16925010,73,1.8288,84.02065442,0
16925040,72,1.651,84.02065442,1
16931030,90,1.6002,19.494,1
16935010,81,1.651,41.4,1
16954010,74,1.6764,116.024,1
16956010,73,1.6764,62.3,1
16959010,81,1.7526,36.1,0
16959011,54,1.6129,36.1,1
16973020,73,1.8034,18.72,0
16973030,65,1.7018,17.988,1
16973031,77,1.7272,32.868,0
16973032,72,1.8288,25.172,0
16973033,69,1.8288,17.988,0
16975040,70,1.651,21.84476146,1
16989010,75,1.7018,19.308,0
16994040,71,1.5748,27.848,1
16996020,82,1.7018,117.4310221,0
17027040,64,1.778,64.832,1
17028010,74,1.7018,52.24052,1
17038030,69,1.6256,19.236,1
17041010,76,1.6764,24.01835817,0
17050020,74,1.905,34.184,0
17050030,69,1.6002,34.184,1
17061010,76,1.6764,101.722,1
17075010,82,1.8288,70.236,0
17075020,80,1.5494,70.236,1
17077040,71,1.6002,23.47248878,1
17093040,71,1.524,26.82265803,1
17107010,78,1.778,44.492,0
17134011,58,1.7018,1,1
17136010,74,1.778,13.416,0
17159010,73,1.5748,79.64812,1
17159011,57,1.8542,79.64812,0
17175010,74,1.70815,8.869,1
17199010,78,1.6002,19.344,1
17209010,73,1.7907,79.833,0
17209011,61,1.5748,79.833,1
17234010,77,1.6764,23.508,0
17234040,71,1.6002,23.508,1
17237010,77,1.8034,40.728,0
17237020,78,1.5748,40.728,1
17239010,81,1.651,8.4,0
17241010,83,1.8034,100.9693458,0
17241011,84,1.6256,100.9693458,1
17279010,78,1.778,34.88,0
17279040,69,1.6002,34.88,1
17282020,73,1.6764,96.316,0
17282030,64,1.524,96.316,1
17303010,74,1.5748,12.12,1
17319010,82,1.8288,466.612,0
17328010,75,1.7399,104.3383799,0
17328011,75,1.7272,114.4922665,1
17328040,60,1.6764,13.86174712,1
17356010,76,1.6256,54,1
17356020,77,1.7526,54,0
17363010,78,1.6256,32.736,1
17366010,82,1.7526,16.654,0
17371010,80,1.6002,10.452,1
17383010,74,1.8796,81.312,0
17383012,65,1.524,81.312,1
17388010,78,1.4986,13.176,1
17389010,77,1.5621,39.48,1
17392010,72,1.7018,63.376,0
17392040,69,1.6764,63.376,1
17428010,76,1.7526,15.888,0
17449010,75,1.651,16.308,1
17468010,81,1.5875,18.5403679,1
17473010,81,1.651,79.608,1
17491010,81,1.7272,33.72,0
17491020,80,1.6764,33.72,1
17492010,74,1.7526,19.2,0
17492040,55,1.7272,16,1
17506020,82,1.524,18.732,1
17520010,77,1.5748,128.1,1
17520011,85,1.8288,128.1,0
17521020,76,1.651,106.9804513,1
17526010,73,1.5875,75.625,1
17527020,77,1.7526,78.557,1
17547010,82,1.7526,16.8,0
17626010,76,1.7018,8.04,0
17635010,78,1.8542,58.316,0
17642010,81,1.651,5.376,0
17653010,82,1.6256,41.988,1
17661030,70,1.4478,17.487,1
17674030,70,1.651,81.136,1
17707040,70,1.5748,261.1470604,1
17707041,68,1.8161,261.1470604,0
17715010,79,1.778,119.4,0
17715020,78,1.4224,119.4,1
17750010,76,1.6764,21.8,1
17750020,77,1.6764,21.8,0
17773010,73,1.7526,68.388,0
17773011,70,1.4478,68.388,1
17785030,84,1.778,36,0
17790040,72,1.6764,13.065,1
17807010,76,1.6002,10.776,1
17833010,76,1.524,18.744,1
17833020,78,1.905,18.744,0
