firmid,wave,cty,country,sic,management,operations,monitor,target,people,lean1,lean2,perf1,perf2,perf3,perf4,perf5,perf6,perf7,perf8,perf9,perf10,talent1,talent2,talent3,talent4,talent5,talent6,emp_firm,firmage,ownership,mne_yn
9184,2012,sg,Singapore,37.0,2.55555558204651,3.0,3.20000004768372,2.20000004768372,2.16666674613953,2.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,170.0,,Private Individuals,0.0
9185,2012,sg,Singapore,38.0,2.55555558204651,1.0,2.59999990463257,2.20000004768372,3.33333325386047,1.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,2.0,100.0,,Private Individuals,0.0
9186,2012,sg,Singapore,36.0,3.22222232818604,3.5,3.40000009536743,3.40000009536743,2.83333325386047,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,200.0,13.0,Private Individuals,0.0
9188,2012,sg,Singapore,20.0,3.72222232818604,3.5,4.19999980926514,3.59999990463257,3.5,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,110.0,,"Family owned, family CEO",0.0
9189,2012,sg,Singapore,20.0,2.88888883590698,1.0,3.40000009536743,3.59999990463257,2.5,1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,200.0,,"Family owned, family CEO",0.0
9190,2012,sg,Singapore,36.0,3.94444441795349,4.0,4.59999990463257,4.0,3.33333325386047,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1000.0,13.0,Dispersed Shareholders,0.0
9193,2012,sg,Singapore,38.0,2.38888883590698,3.0,3.20000004768372,1.39999997615814,2.33333325386047,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,880.0,,Dispersed Shareholders,0.0
9194,2012,sg,Singapore,38.0,2.61111116409302,1.0,3.0,2.20000004768372,3.16666674613953,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,100.0,,Private Individuals,0.0
9196,2012,sg,Singapore,37.0,2.11111116409302,1.0,1.39999997615814,2.40000009536743,2.83333325386047,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,200.0,,"Founder owned, founder CEO",0.0
9197,2012,sg,Singapore,28.0,3.33333325386047,4.0,3.20000004768372,3.59999990463257,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2000.0,,Dispersed Shareholders,1.0
9198,2012,sg,Singapore,20.0,2.83333325386047,4.0,1.39999997615814,3.0,3.5,4.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,130.0,12.0,"Founder owned, founder CEO",0.0
9199,2012,sg,Singapore,37.0,1.83333337306976,2.5,1.39999997615814,1.39999997615814,2.33333325386047,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,2.0,500.0,,"Founder owned, founder CEO",0.0
9201,2012,sg,Singapore,38.0,2.44444441795349,2.0,3.20000004768372,2.20000004768372,2.16666674613953,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,500.0,,Private Individuals,1.0
9202,2012,sg,Singapore,34.0,3.22222232818604,3.0,3.79999995231628,2.79999995231628,3.16666674613953,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,250.0,12.0,Dispersed Shareholders,1.0
9203,2012,sg,Singapore,28.0,3.0,4.0,3.59999990463257,2.59999990463257,2.5,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2000.0,,"Family owned, family CEO",1.0
