time,year,month,country,countrycode,cpi_sa,cpi_yoy_nsa,exchange_rate_neer,exchange_rate_reer,exchnage_rate_vs_usd,ind_prod_const,ind_prod_const_sa
1991-07,1991,7,Taiwan China,TWN,73.85481985333,4.21415716857,,,26.96617391304,5627686836.30389,5360358267.9378
1991-07,1991,7,Chad,TCD,45.36459687398,6.13459272183,,,303.5961573989,,
1991-07,1991,7,Indonesia,IDN,14.29530381383,8.37058266763,,,1953.07381022104,19620788175.3789,17742497650.7916
1991-07,1991,7,Malaysia,MYS,59.65353399416,4.95917093841,113.16402625668,110.71208626025,2.78717391304,2936363841.1187,2811919219.71799
1991-07,1991,7,Singapore,SGP,75.86479082509,3.99719941442,78.45603338533,93.62324529976,1.75717391304,1681090583.87488,1666204760.40792
1991-07,1991,7,Brunei,BRN,80.05324066188,2.697892811,,,1.7442112101,,
1991-07,1991,7,Cambodia,KHM,,,,,800.0,,
1991-07,1991,7,Lao PDR,LAO,4.45506622446,12.32890546398,,,700.49998128819,,
1991-08,1991,8,Brunei,BRN,80.25306375892,2.71969668413,,,1.71472067558,,
1991-08,1991,8,Thailand,THA,53.29441529791,6.18172383999,,,25.71909090909,,
1991-08,1991,8,United States,USA,62.80806297359,3.79939209726,83.40415971701,102.1859223539,1.0,174069317955.606,170926052529.733
1991-08,1991,8,Lao PDR,LAO,4.38036423086,12.00405769553,,,700.49998128819,,
1991-08,1991,8,Chad,TCD,44.39025395729,6.50919168626,,,296.52113042679,,
1991-08,1991,8,Singapore,SGP,76.05283929981,3.88304872441,79.16008966681,94.37432358386,1.72827272727,1778566733.40212,1644778388.59395
1991-08,1991,8,China,CHN,43.17448244712,4.73536378383,132.0225522432,86.03984129662,5.37263636364,301533110682.43,306990344148.331
1991-08,1991,8,Philippines,PHL,33.23688401409,21.0324266928,152.29686756016,87.63925741757,26.70447532596,3430933149.23949,3009772524.74427
1991-08,1991,8,Cambodia,KHM,,,,,1000.0,,
1991-08,1991,8,Indonesia,IDN,14.58328220877,9.82929074226,,,1957.76521998162,18404669096.5967,17533789822.8324
1991-08,1991,8,Malaysia,MYS,60.03308488694,5.49511775556,112.3852958403,109.83654963202,2.78077272727,2875611485.78521,2851422722.66747
1991-08,1991,8,Myanmar,MMR,2.33600635622,29.33886613657,,,6.4345,,
1991-08,1991,8,Vietnam,VNM,,,,,9869.05771563531,,
1991-08,1991,8,Taiwan China,TWN,74.15240726964,3.80895700045,,,26.718,5792307523.88016,5568883788.40205
1991-08,1991,8,Papua New Guinea,PNG,,,228.44774992205,114.00869164681,0.99724099968,,
1991-09,1991,9,Papua New Guinea,PNG,,,227.74729458751,113.11568031011,0.9904857154,,
1991-09,1991,9,China,CHN,43.18306261854,4.4187403753,130.12173061556,84.66123643867,5.38685714286,287793331092.333,300462764179.7
1991-09,1991,9,Myanmar,MMR,2.3652321775,26.18265002845,,,6.3517,,
1991-09,1991,9,Singapore,SGP,76.00988995682,3.12293300576,79.44649586393,94.94409159764,1.70261904762,1763895578.24369,1619578053.56276
1991-09,1991,9,United States,USA,62.99198116678,3.39622641509,82.42934744497,100.95647705274,1.0,175912116356.468,172434912468.32
1991-09,1991,9,Cambodia,KHM,,,,,1000.0,,
1991-09,1991,9,Taiwan China,TWN,74.1205229036,0.66397228637,,,26.546,5747666496.99419,5631744673.11446
1991-09,1991,9,Lao PDR,LAO,4.37624913675,11.51394360036,,,706.49998112792,,
1991-09,1991,9,Vietnam,VNM,,,,,11610.6561360415,,
1991-09,1991,9,Thailand,THA,53.55468942461,6.55615915211,,,25.61428571429,,
1991-09,1991,9,Brunei,BRN,80.43324753037,2.6981684512,,,1.68989699332,,
1991-09,1991,9,Philippines,PHL,33.55651257206,20.76606393284,152.13190254127,88.05019267594,26.49230829649,3396509034.38748,3156033194.94646
1991-09,1991,9,Chad,TCD,44.50209756192,0.48136892319,,,289.0011017582,,
1991-09,1991,9,Malaysia,MYS,59.93579118842,4.61006136572,111.9506109013,109.03431816922,2.75914285714,3017366981.56336,2899314885.78275
1991-09,1991,9,Indonesia,IDN,14.62863967615,9.31929454125,,,1962.4566297422,18291752751.0604,17493235383.4732
1991-10,1991,10,Taiwan China,TWN,74.68381337018,3.58195754717,,,26.38839130435,5933063068.81632,5731257423.24564
1991-10,1991,10,Lao PDR,LAO,4.390637247,11.28681740389,,,706.49998112792,,
1991-10,1991,10,Vietnam,VNM,,,,,11610.6561360415,,
1991-10,1991,10,Singapore,SGP,76.04355295538,2.35617636949,79.28438536601,94.17715077544,1.69391304348,1773655626.37875,1677344038.9362
1991-10,1991,10,Malaysia,MYS,60.18979777471,4.60480249547,112.13466472545,108.91831457636,2.74708695652,2966740018.78545,2912392211.11507
1991-10,1991,10,Myanmar,MMR,2.45263856688,27.91980316745,,,6.3102,,
1991-10,1991,10,Indonesia,IDN,14.74971088944,9.2061615472,,,1969.98284880492,17222053457.4698,16981364510.9809
